entry_id	toned	plain	kind
保留|保留|bao3 liu2	bao3liu2	baoliu	canonical
保證|保证|bao3 zheng4	bao3zheng4	baozheng	canonical
保護|保护|bao3 hu4	bao3hu4	baohu	canonical
信|信|xin4	xin4	xin	canonical
信仰|信仰|xin4 yang3	xin4yang3	xinyang	canonical
信任|信任|xin4 ren4	xin4ren4	xinren	canonical
信息|信息|xin4 xi1	xin4xi1	xinxi	canonical
信號|信号|xin4 hao4	xin4hao4	xinhao	canonical
修|修|xiu1	xiu1	xiu	canonical
俱樂部|俱乐部|ju4 le4 bu4	ju4le4bu4	julebu	canonical
個人|个人|ge4 ren2	ge4ren2	geren	canonical
倍|倍|bei4	bei4	bei	canonical
們|们|men5	men5	men	canonical
倒|倒|dao3	dao3	dao	canonical
倒|倒|dao4	dao4	dao	canonical
借|借|jie4	jie4	jie	canonical
倫|伦|lun2	lun2	lun	canonical
值|值|zhi2	zhi2	zhi	canonical
值得|值得|zhi2 de5	zhi2de5	zhide	canonical
假|假|jia3	jia3	jia	canonical
假|假|jia4	jia4	jia	canonical
假設|假设|jia3 she4	jia3she4	jiashe	canonical
偉大|伟大|wei3 da4	wei3da4	weida	canonical
做|做|zuo4	zuo4	zuo	canonical
做出|做出|zuo4 chu1	zuo4chu1	zuochu	canonical
停|停|ting2	ting2	ting	canonical
停止|停止|ting2 zhi3	ting2zhi3	tingzhi	canonical
健康|健康|jian4 kang1	jian4kang1	jiankang	canonical
側|侧|ce4	ce4	ce	canonical
側|侧|zhai1	zhai1	zhai	canonical
偵探|侦探|zhen1 tan4	zhen1tan4	zhentan	canonical
偶像|偶像|ou3 xiang4	ou3xiang4	ouxiang	canonical
傳|传|chuan2	chuan2	chuan	canonical
傳|传|zhuan4	zhuan4	zhuan	canonical
傳統|传统|chuan2 tong3	chuan2tong3	chuantong	canonical
傳說|传说|chuan2 shuo1	chuan2shuo1	chuanshuo	canonical
傷|伤|shang1	shang1	shang	canonical
傷害|伤害|shang1 hai4	shang1hai4	shanghai	canonical
僅|仅|jin3	jin3	jin	canonical
像|像|xiang4	xiang4	xiang	canonical
價值|价值|jia4 zhi2	jia4zhi2	jiazhi	canonical
價格|价格|jia4 ge2	jia4ge2	jiage	canonical
儀式|仪式|yi2 shi4	yi2shi4	yishi	canonical
億|亿|yi4	yi4	yi	canonical
儘管|尽管|jin3 guan3	jin3guan3	jinguan	canonical
優勢|优势|you1 shi4	you1shi4	youshi	canonical
優秀|优秀|you1 xiu4	you1xiu4	youxiu	canonical
允許|允许|yun3 xu3	yun3xu3	yunxu	canonical
元|元|yuan2	yuan2	yuan	canonical
元素|元素|yuan2 su4	yuan2su4	yuansu	canonical
兄弟|兄弟|xiong1 di4	xiong1di4	xiongdi	canonical
充滿|充满|chong1 man3	chong1man3	chongman	canonical
先|先|xian1	xian1	xian	canonical
先生|先生|xian1 sheng5	xian1sheng5	xiansheng	canonical
光|光|guang1	guang1	guang	canonical
克|克|ke4	ke4	ke	canonical
免費|免费|mian3 fei4	mian3fei4	mianfei	canonical
兒|儿|er2	er2	er	canonical
兒子|儿子|er2 zi5	er2zi5	erzi	canonical
兒童|儿童|er2 tong2	er2tong2	ertong	canonical
入|入|ru4	ru4	ru	canonical
入侵|入侵|ru4 qin1	ru4qin1	ruqin	canonical
內|内|nei4	nei4	nei	canonical
內容|内容|nei4 rong2	nei4rong2	neirong	canonical
內部|内部|nei4 bu4	nei4bu4	neibu	canonical
全|全|quan2	quan2	quan	canonical
全世界|全世界|quan2 shi4 jie4	quan2shi4jie4	quanshijie	canonical
全國|全国|quan2 guo2	quan2guo2	quanguo	canonical
全球|全球|quan2 qiu2	quan2qiu2	quanqiu	canonical
全部|全部|quan2 bu4	quan2bu4	quanbu	canonical
全面|全面|quan2 mian4	quan2mian4	quanmian	canonical
八|八|ba1	ba1	ba	canonical
公|公|gong1	gong1	gong	canonical
公主|公主|gong1 zhu3	gong1zhu3	gongzhu	canonical
公共|公共|gong1 gong4	gong1gong4	gonggong	canonical
公園|公园|gong1 yuan2	gong1yuan2	gongyuan	canonical
公民|公民|gong1 min2	gong1min2	gongmin	canonical
公眾|公众|gong1 zhong4	gong1zhong4	gongzhong	canonical
公路|公路|gong1 lu4	gong1lu4	gonglu	canonical
公里|公里|gong1 li3	gong1li3	gongli	canonical
公開|公开|gong1 kai1	gong1kai1	gongkai	canonical
六|六|liu4	liu4	liu	canonical
共|共|gong4	gong4	gong	canonical
共同|共同|gong4 tong2	gong4tong2	gongtong	canonical
兵|兵|bing1	bing1	bing	canonical
其|其|qi2	qi2	qi	canonical
